,0
2001-07-20,-0.007087425
2001-07-21,-0.014056181
2001-07-22,0.015797636
2001-07-23,0.009661558
2001-07-24,-0.011792402
2001-07-25,-0.009591144
2001-07-26,-4.34144e-05
2001-07-27,0.009400143
2001-07-28,0.005992893
2001-07-29,0.02073402
2001-07-30,0.020583915
2001-07-31,0.025505811
2001-08-01,0.01676461
2001-08-02,0.033264507
2001-08-03,0.032431662
2001-08-04,0.03609847
2001-08-05,0.025924971
2001-08-06,-0.0011235637
2001-08-07,0.033026394
2001-08-08,0.056071643
2001-08-09,0.016496668
2001-08-10,0.017302115
2001-08-11,0.027561106
2001-08-12,0.003080706
2001-08-13,-0.012861206
2001-08-14,-0.0034389943
2001-08-15,0.015827132
2001-08-16,-0.0011626919
2001-08-17,0.008395468
2001-08-18,0.015198532
2001-08-19,0.021055661
2001-08-20,0.038010236
2001-08-21,0.03393004
2001-08-22,0.018942391
2001-08-23,-0.011544314
2001-08-24,-0.020559035
2001-08-25,-0.0059455913
2001-08-26,-0.01601527
2001-08-27,-0.019621244
2001-08-28,-0.0014808591
2001-08-29,-0.007858403
2001-08-30,-0.019847358
2001-08-31,-0.0045435377
2001-09-01,0.007180914
2001-09-02,0.0005482149
2001-09-03,-0.01954206
2001-09-04,-0.00925405
2001-09-05,0.019838473
2001-09-06,-0.008333808
2001-09-07,-0.042957302
2001-09-08,-0.042278904
2001-09-09,-0.018350787
2001-09-10,-0.010333715
2001-09-11,0.011158351
2001-09-12,0.017577566
2001-09-13,0.0035253924
2001-09-14,-0.0107874
2001-09-15,-0.023250109
2001-09-16,-0.02467969
2001-09-17,0.023429817
2001-09-18,0.02062346
2001-09-19,-0.0063610487
2001-09-20,-0.009410868
2001-09-21,-0.0018580034
2001-09-22,0.0013918346
2001-09-23,-0.0094538415
2001-09-24,-0.027319698
2001-09-25,-0.032188445
2001-09-26,-0.013224352
2001-09-27,-0.0011045481
2001-09-28,0.006055631
2001-09-29,-0.009369818
2001-09-30,-0.018812686
2001-10-01,-0.022644201
2001-10-02,-0.008135854
2001-10-03,-0.0061922832
2001-10-04,-0.010760925
2001-10-05,-0.0042636483
2001-10-06,-0.0046437145
2001-10-07,-0.0023594387
2001-10-08,-0.0063286065
2001-10-09,-0.010064579
