,0
2001-07-19,-0.17288965
2001-07-20,-0.15883572
2001-07-21,-0.15077484
2001-07-22,-0.13188168
2001-07-23,-0.12820397
2001-07-24,-0.15970482
2001-07-25,-0.17394674
2001-07-26,-0.16795975
2001-07-27,-0.16114242
2001-07-28,-0.17851318
2001-07-29,-0.18026699
2001-07-30,-0.16743045
2001-07-31,-0.18549709
2001-08-01,-0.19445522
2001-08-02,-0.17585634
2001-08-03,-0.17531292
2001-08-04,-0.16997164
2001-08-05,-0.17986701
2001-08-06,-0.18432307
2001-08-07,-0.19356628
2001-08-08,-0.23125942
2001-08-09,-0.21707678
2001-08-10,-0.1914802
2001-08-11,-0.1899085
2001-08-12,-0.19329107
2001-08-13,-0.22770166
2001-08-14,-0.19795136
2001-08-15,-0.15735702
2001-08-16,-0.20043091
2001-08-17,-0.21274525
2001-08-18,-0.16349591
2001-08-19,-0.20845906
2001-08-20,-0.23247884
2001-08-21,-0.236313
2001-08-22,-0.2071117
2001-08-23,-0.16533093
2001-08-24,-0.17036392
2001-08-25,-0.15682946
2001-08-26,-0.15298574
2001-08-27,-0.1600954
2001-08-28,-0.17447115
2001-08-29,-0.20149882
2001-08-30,-0.19590537
2001-08-31,-0.19391549
2001-09-01,-0.16604483
2001-09-02,-0.14832243
2001-09-03,-0.15678564
2001-09-04,-0.18183297
2001-09-05,-0.1806949
2001-09-06,-0.16799514
2001-09-07,-0.14283647
2001-09-08,-0.12892672
2001-09-09,-0.12403528
2001-09-10,-0.13313435
2001-09-11,-0.13127844
2001-09-12,-0.11585762
2001-09-13,-0.09125929
2001-09-14,-0.0943946
2001-09-15,-0.09817534
2001-09-16,-0.12920527
2001-09-17,-0.16327973
2001-09-18,-0.16657226
2001-09-19,-0.17820089
2001-09-20,-0.15600888
2001-09-21,-0.14858077
2001-09-22,-0.14032324
2001-09-23,-0.1405126
2001-09-24,-0.1378402
2001-09-25,-0.14700364
2001-09-26,-0.18003844
2001-09-27,-0.16380465
2001-09-28,-0.12666978
2001-09-29,-0.06240536
2001-09-30,-0.012182813
2001-10-01,-0.026796697
2001-10-02,-0.11594314
2001-10-03,-0.17862868
2001-10-04,-0.20144133
2001-10-05,-0.16998875
2001-10-06,-0.13647754
2001-10-07,-0.15073316
2001-10-08,-0.15668997
2001-10-09,-0.13088791
2001-10-10,-0.1598906
2001-10-11,-0.14616992
2001-10-12,-0.13875307
2001-10-13,-0.16704945
2001-10-14,-0.17495322
2001-10-15,-0.14941435
2001-10-16,-0.11222685
2001-10-17,-0.09241458
2001-10-18,-0.09381187
2001-10-19,-0.11202961
2001-10-20,-0.13516842
2001-10-21,-0.16505396
2001-10-22,-0.17742302
2001-10-23,-0.14850898
2001-10-24,-0.14628513
2001-10-25,-0.17137617
2001-10-26,-0.17702806
2001-10-27,-0.1440755
2001-10-28,-0.117527775
2001-10-29,-0.13325836
2001-10-30,-0.13384321
2001-10-31,-0.0945358
2001-11-01,-0.046913475
2001-11-02,-0.03665093
2001-11-03,-0.016156243
2001-11-04,-0.018710189
2001-11-05,0.026979012
2001-11-06,-0.0050235894
2001-11-07,-0.13350938
2001-11-08,-0.19726501
2001-11-09,-0.17354454
2001-11-10,-0.14576045
2001-11-11,-0.14334963
2001-11-12,-0.15068765
2001-11-13,-0.14473282
2001-11-14,-0.13078897
2001-11-15,-0.12149728
2001-11-16,-0.12836619
2001-11-17,-0.12797545
2001-11-18,-0.10432216
2001-11-19,-0.09042389
2001-11-20,-0.07807627
2001-11-21,-0.07807516
2001-11-22,-0.11583272
2001-11-23,-0.16849731
2001-11-24,-0.15618537
2001-11-25,-0.11372304
2001-11-26,-0.094320275
2001-11-27,-0.10416848
