,,EIG_a,ER_s,Kelvin_s,MJO_s,MJO_a,MRG_a,TD_s,WIG_s,CARIBE_u,CARIBE_v,CHOCO_u,CHOCO_v,ORINOQUIA_u,ORINOQUIA_v,PPT_ERA5,PPT_ERA_acum,Tendencia,Caudal_antes,Caudal
1,1,3.0370927964015655,3.616068128813078,3.5634771401405088,1.6837517391893349,1.725284150895353,2.462590628973572,3.2103193638320584,1.5413560027682283,0.030350258246324483,0.020473988395470818,0.031192246149175238,0.030617809765132953,0.01274786201491098,0.010422747226955608,2.070633532669073,18.63447184327965,33.856464325779896,101.28241714033766,76.64501855321525
1,2,3.449572307717027,3.5428585303294398,5.251062646486781,1.9370555544338643,1.731365135240688,2.5459576721271038,3.5108687478512888,1.2157829267954168,0.03809154506956717,0.022457403239840645,0.03467614814170698,0.03543392559339046,0.01178589707060009,0.012719452599671057,1.785484611342556,18.178307900751438,93.68807910323501,76.64501855321525,63.361162306479066
1,3,3.666272568766091,3.5256838587885793,5.389578798469551,2.084622853531346,1.683332551977559,2.201294965277859,3.296353455714429,0.926943117149677,0.04314948685479986,0.0278428595980968,0.02902520565222865,0.03253727590171753,0.012734549572873309,0.008709655325268162,2.340619442849282,17.760722330476028,22.327196987152252,63.361162306479066,59.687560324006405
1,4,3.0089722558562264,3.6063368235625806,3.990652803266764,2.2161459584971723,1.6268716091622717,2.9694097752301083,3.453041229638404,1.1524700927605378,0.047021830990213495,0.027182323954374376,0.024430146877968118,0.02524533011339916,0.012763787636354957,0.011213107677011974,3.725333230508496,16.640402127716076,19.089132687091077,59.687560324006405,56.48496011551251
1,5,2.993940085541793,3.7802819453437717,5.388392626131431,2.0012967319369426,1.5206385206181008,2.479577370621947,3.7072618608317924,1.3941008130329022,0.04692355414597404,0.020755639562198554,0.025682582882014866,0.021079795113815556,0.00944767585749648,0.013602465004406771,5.404560853207458,16.989568278708727,17.13610282066779,56.48496011551251,93.79161619974266
1,6,3.2112153449017438,3.9933386708727983,5.105327272489245,2.079602738806,1.4848214476359272,2.9140819288916227,2.7101609461346623,1.415323662455362,0.04786223716163296,0.016432798234641176,0.029478162138857712,0.03074041016362685,0.006720441408623284,0.01179363206832622,2.810125335384388,18.97363891354982,52.592957359885204,93.79161619974266,68.75826083079325
1,7,2.732659940374617,4.18768802089093,5.325361435102724,2.165399626884167,1.4675093977851956,2.8309294474653184,2.7917460396790643,1.2737719898998503,0.04677490470463113,0.014795682362355397,0.03092098044201803,0.030223077438969757,0.00954091470858864,0.013204062185632541,3.9714802736733956,18.873330562857294,34.3453846180464,68.75826083079325,84.34715612599432
1,8,3.958092162170362,4.274087513541095,6.30067645915858,2.202255048638781,1.4698430815558459,2.257234054080774,3.3438691299603978,1.3612036899028976,0.04517975758921032,0.021615508641616727,0.02857861249039395,0.035537963096107225,0.010185657054968612,0.011939422732189517,3.712716932266417,21.02726488107127,34.66787285638756,84.34715612599432,120.03599881477018
1,9,2.9006754520279605,4.23596094170407,4.9554759769546015,2.1999279435205596,1.4779396428991058,2.8861069673313415,2.90305615734612,1.4959233226614146,0.04493439679880428,0.02091067331551052,0.030325812686081432,0.03316847463409459,0.010037781907239392,0.011259934504581287,3.4847921036041383,22.861923932321048,55.95587312622921,120.03599881477018,130.73312523840224
1,10,3.361659903733156,4.081843490451918,4.7491003084267405,2.1312545985386455,1.5039001358059911,2.3242499640044123,2.6640024344465587,1.5116287538229851,0.04392667805698768,0.01538707480158435,0.03286492143598754,0.027161735574178152,0.010619554268681556,0.009897412316483035,2.1389514727456103,24.64981238009148,30.09201990037426,130.73312523840224,125.76032815452754
1,11,2.504835098130518,3.883243483766713,5.687234981554069,2.0623251712479247,1.5346604970011841,2.7613822716121144,2.7616159106734757,1.5507147798538163,0.04340899867917869,0.021305455735328833,0.021992444868084705,0.028235616886486417,0.013186993686883176,0.009832038995567404,1.5795212342739393,24.406993788189233,45.40986361674219,125.76032815452754,114.66852580938992
1,12,3.848896136591934,3.722134158073597,5.098088144366363,1.9699091830547435,1.5493806779043184,2.402011770108542,2.6772476260976745,1.5757917932802719,0.03483727896191975,0.02082331060242417,0.02527239991769507,0.030470514325548596,0.017279371373349665,0.012861690801010729,2.7415932804862746,24.47341569086496,42.810815919765055,114.66852580938992,93.92250324428679
1,13,3.947677685369265,3.7435357788206227,4.508369608260449,1.867862758459727,1.5896137084972963,2.6008547473304295,2.163381622065906,1.5157307134502271,0.036089700982621147,0.019723956113977578,0.03285827220548045,0.034636743431314954,0.015490554559703528,0.012215967453939443,1.3698842147741155,25.874026359292223,44.63258218137911,93.92250324428679,103.07708088659281
