,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,Caudal
2001-02-04,-0.4298058137644467,-1.3954954774663264,-1.272285958367171,0.007081843757415648,0.39259022332411897,-1.100830680315675,-0.7854879345944534,-0.05404529152051583,0.12295922513781016,1.0408705964957834,0.951928885940252,-0.4717948001176489,-0.8999582787299684,0.24332205398539486,-1.1087848030844445,-0.3256455533818262,0.49654415622019116,0.02802226270554183,-0.8421363067270589
2001-02-05,-0.6252214961291706,-1.6110873248971491,-0.960045119875979,-0.3605709721666467,-0.5240398573404508,-1.2962674591074328,0.541849278047388,0.04202432566801043,-0.09087240181077756,-1.1440203744184596,0.21985311125237417,-0.0917951362511676,-0.5939442570995304,0.42622857098065714,-1.4099952847144073,-0.40924518398388654,-0.2968886955998148,-0.12359008892083821,-0.7413921501754759
2001-02-06,-0.9487428814314719,-0.4369651991272995,-1.0395112907146928,-0.685298395262482,-1.2253686851179475,0.14866844973850885,-1.3840276376331975,-0.25815207902351683,-0.5269161824835673,0.567088205702271,0.12969010139768541,-0.18893151199106098,-0.7490071469103025,-0.2685461036255314,-1.0559151044203618,-0.19318152984406153,-0.35109937653759543,0.19095242646388794,-0.7337076154489784
2001-02-07,-1.1272413093545552,0.009579261835014745,-0.9257192020483913,-0.6291796940392551,-1.4840524157793866,0.10814368467697884,-0.288450111420107,0.5280588246832263,-0.852567460973956,0.025143761987207035,0.0485739328163777,-0.0007635729684104943,-0.8004677646611825,-0.5689015853143505,-0.9149705473755371,0.2804431312652425,-0.12350966713887404,0.23706830485538685,-0.5370472698667205
2001-02-08,-1.467960438469431,0.34986872404356834,-1.175045350458634,0.27560436824384904,0.04906469672938758,-1.1146823050866788,0.8259389433621156,0.584967213604656,-1.0035521767842683,0.2689291082868287,0.07972911648087876,0.24468587772547948,-0.4615199417270972,-0.8317520256635194,-1.2936870173613952,0.3085388772138271,0.3669493598436461,0.34224035963199795,-0.5917712683156052
2001-02-09,-1.473533648410879,0.3907121165053373,-1.1819431080022171,-0.21406592874428798,0.8684819330920146,-1.5954805743839595,-0.39764176623371095,0.13186357114333225,-0.0723168627465151,-0.7141924918774385,-0.25760936396807343,-1.2416725238906505,-0.06487047039970342,-0.7337783273965379,-0.5901615010340124,-0.20318946170912808,0.01792001057840354,0.2983548593633713,-0.9777504067402276
2001-02-10,-1.808958823986738,0.2815852985082952,-1.3347910375202097,0.44443183622812754,0.9380557507154843,-0.384913144192431,-1.4465144413766748,-0.6832608520970842,-0.6251597296581377,0.5473606561292604,-0.5849635604075383,-0.643288125998422,-0.06919968282500846,-1.0288072342885288,-0.085542423475364,0.2689304551136677,0.5281750393409744,0.1742375849034797,-0.7087341113900538
2001-02-11,-1.9060058352425375,-0.23977297231715838,-0.6579529195286801,-0.6078834699808019,-1.043516516657237,-0.12378338301082387,0.3681433531450559,1.5147217845853644,-0.01721580971772797,-1.33396691890335,-0.48624702485673893,-0.21412151558008846,-0.010875804094221132,-0.9884864500959513,-0.11746712931237767,-0.38131520704980537,-0.27327018285322835,0.15799198139630252,-0.50024911671539
2001-02-12,-1.7501877592024642,0.3461425917064959,-0.39716659203543037,-1.0895711541704722,-0.7526698282983559,-0.3860459917352543,-0.48456300069433883,-0.33026253503731895,-0.37024017669292625,0.6447198357683175,0.646501251244828,0.7680205646115733,0.2718020505112664,-0.6562755719893009,-0.8644263568719603,-0.5296742106719846,0.4755144867986649,0.0905957999528237,-1.1615176503745273
2001-02-13,-2.860420694402925,-0.004384458300442674,-0.44899339705373315,-0.20471506114837745,-0.03920833256933897,-0.017701527445794507,0.6377520896798092,-0.4993867487599384,-0.5528009718529006,-0.022195477389512892,0.28295152179489935,0.9467778300328151,0.5598925240828777,-0.4143902919391498,-0.8450240446464778,0.00445975386450849,0.5062043286326442,-0.17670402190261458,-0.7315545745582115
