,,EIG_a,ER_s,Kelvin_s,MJO_s,MJO_a,MRG_a,TD_s,WIG_s,CARIBE_u,CARIBE_v,CHOCO_u,CHOCO_v,ORINOQUIA_u,ORINOQUIA_v,PPT_ERA5,PPT_ERA_acum,Tendencia,Caudal_antes,Caudal
1,1,0.3856659524193739,2.884897916237923,3.0656230299831027,-0.14965274877540716,-0.07899707982697066,-0.3616797926445294,0.43566202732271386,-0.07614281938600143,-0.173807213375,-0.0242996397125,0.00798603341875,-0.03843612573125,-0.05391255856249999,-0.046663443875,2.694322909374023,52.987148159535394,-26.7491033770662,231.52315737327243,194.13111745758795
1,2,-0.6167897526198054,2.1356575574768186,3.2217556872280944,-0.1483565085894959,0.02089407133168426,-0.5121558107131826,0.6301760392156017,0.3586439871691809,-0.172628045625,-0.024433523581249998,0.0080577164875,-0.0395225303625,-0.052217058812499995,-0.045069372124999986,2.2100520739008465,49.70746298196414,-31.21159122285,194.13111745758795,174.81414115611162
1,3,0.23029328379126066,1.3155898594437463,1.418943499793131,-0.032825514630303324,0.07941204602079796,0.009430233661630568,0.9853723257652585,-0.6145756526987344,-0.15482190225,-0.0287737933875,0.009028410540624998,-0.04067811678125001,-0.051398078562500005,-0.043306543999999995,3.0603819467521847,47.232666672221214,-19.316976301476377,174.81414115611162,163.99460549840396
1,4,0.4043453596313381,0.3981902902458064,-1.4748174989070753,0.07985666690379639,0.13438827086399757,0.4318705170682678,0.4268985543124038,0.750542477244816,-0.1466556685,-0.0324237331375,-0.0026439383581250003,-0.045240295375,-0.050854832937500004,-0.040147212125000005,3.868246528536676,45.671148156305705,-10.819535657707629,163.99460549840396,159.50395640980818
1,5,-1.0939003289553375,-0.468734506834147,-3.1153160412113565,-0.11835366809405055,0.12301738514822631,0.25956439013270033,-1.599103477810543,-0.7733757583564478,-0.14640782475,-0.031025283493750003,-0.0007203402687499998,-0.0462528855,-0.0498937773125,-0.0400396511875,4.8148437396610255,45.28711111182002,-4.49064908859576,159.50395640980818,179.75970731554622
1,6,1.7649341554429143,-1.0110520148349786,-1.6450354964697622,-0.008221884074616792,0.180422557804242,0.13453336469802266,-1.1843908340679983,0.5262110547246378,-0.145484338125,-0.024338601375,0.0051770896624999995,-0.044049880625,-0.0501421945625,-0.041581449750000006,3.7956944478307078,45.48620368924199,20.25575090573805,179.75970731554622,166.7347889740977
1,7,-1.7324885785612916,-1.2328454404548077,0.36577837622389175,0.14466962547117337,0.24329482037295366,0.0772752928566626,1.0269384438730365,-0.17878986937978958,-0.13920084724999998,-0.027745882249999992,0.0004486958312500003,-0.045473719875000006,-0.048484121874999994,-0.03687265653125,4.959878456342267,43.74557406099651,-13.024918341448481,166.7347889740977,175.97695229068222
1,8,0.5458770999861411,-1.1591162747530177,1.1771720422130116,0.1896899054691665,0.23979005598866998,-0.3612374763063021,0.8358289907298887,-0.05493607160478146,-0.14216228681249998,-0.030353335156249998,-0.007461620624999998,-0.04621250826875,-0.0477838715,-0.03943832125,4.178055547523803,43.78744442215259,9.242163316584497,175.97695229068222,193.598834086988
1,9,0.6877585796000979,-0.8790799114401161,0.367900749964371,0.2818331526849243,0.2763974042424182,-0.5585962649163412,0.5482989574173552,0.14436774270654418,-0.14312980718749996,-0.029153733400000003,-0.0014000842499999999,-0.0478616568625,-0.0499143596875,-0.042033137375,4.425347231231473,43.60488885619713,17.621881796305743,193.598834086988,201.5646372891219
1,10,-0.9970765001896137,-0.5724792272798113,0.4101859590936154,0.25169360581948436,0.25434483683639214,0.09041036222528727,-0.1364697525346558,-0.06403224572737976,-0.14184141187500002,-0.028765282000000003,-0.0051816146437500005,-0.051739199312500005,-0.04706132318749999,-0.04386361325,3.2876388734698088,44.42257405615722,7.965803202133889,201.5646372891219,206.64859525075255
1,11,0.44202991207186326,-0.12255377353461515,1.3231300341670962,0.3011450596662958,0.25221201045996794,0.818209197007014,-1.3479152741120863,-0.1715142644773327,-0.1464328340625,-0.02802600421875,-0.015297903118750003,-0.056095544750000004,-0.04735045481250001,-0.04341683787499999,2.9589409806746216,44.767018478960495,5.083957961630654,206.64859525075255,198.18713759559776
1,12,0.4505978106928825,0.1843148510336355,0.712931770576814,0.349601630245892,0.30281282202360504,0.3900783586722397,-0.3308941103278435,0.38521111021998006,-0.150498251875,-0.027955808643750003,-0.0184290784125,-0.0582626735,-0.0497789551875,-0.03847001024999999,3.1939409814593906,45.553740710278774,-8.461457655154758,198.18713759559776,182.06470971132828
1,13,-1.3448999568032913,0.6354515603009808,0.3340305710621795,0.3923075417818775,0.26140833486088066,-0.2687798300552056,0.5564602670710898,-0.5751062199916923,-0.1534326713125,-0.02483937965,-0.013221115568750004,-0.05657836685,-0.04605308431249999,-0.037934686,3.167378476588056,46.628740717056736,-16.12242788426949,182.06470971132828,181.32407313059608
1,14,1.1727619100188946,0.9990970994548595,0.2858423121135374,0.42938238134029233,0.21096975431590081,-0.4759177756091741,0.8538018653531848,0.6422836145193727,-0.149694055625,-0.025393175168749997,-0.0012997546531250005,-0.054089787468750004,-0.0440866745,-0.041730985312499996,3.4133333446968916,46.61472219334488,-0.740636580732231,181.32407313059608,161.18484194849634
1,15,0.14416327247281108,1.2008961700019614,-0.03333008654351962,0.4597117271643962,0.15267721762426237,-0.27156315956665555,-0.06824814591087579,-0.6313723958962456,-0.1430235465,-0.02802400165,0.003955818324999999,-0.047417216375,-0.0434496110625,-0.044690450687499994,3.8262847064405734,47.33373262866776,-20.139231182099746,161.18484194849634,167.3915188227128
1,16,-1.0370235310686542,1.1766957855724773,-0.4123519468622605,0.5625638599960351,0.07540932698106288,0.11864849967138692,0.09175201042700548,0.5877410532273618,-0.136000559375,-0.026724527340625,0.006432902314375,-0.04741883591874999,-0.046668757500000005,-0.0403383366875,5.008003486701959,48.94996526120748,6.206676874216461,167.3915188227128,166.82252847504188
1,17,0.894456384812329,0.9099024249788139,-2.1488875562703718,0.56324816963889,0.0003667328904520872,0.21644740683570554,-0.34554483693676274,-0.5276408113632135,-0.12866775275,-0.023749032100999993,-0.0005085386687499999,-0.0487290489375,-0.046326003124999994,-0.0430918986875,4.491059021739702,50.89758680115725,-0.5689903476708911,166.82252847504188,188.91541729493736
1,18,-0.7958811276653943,0.7492219699684156,-1.1329520751075701,0.3548341782304673,-0.038388859728552056,0.17358168561997045,-0.7266914477581016,0.4325277314831252,-0.1307613775,-0.024218691112499996,-0.012806950275000001,-0.0547858969375,-0.04444883137499999,-0.044023525687499995,3.411024301642707,51.52039929436028,22.09288881989547,188.91541729493736,203.58303914285077
1,19,1.6688279575277547,0.1153278748523875,0.9322175278348667,0.3260857586816501,-0.13300746548250456,0.012377291650334143,0.4915847381881472,-0.14313457491964293,-0.13458699293749998,-0.0276400148125,-0.01835317928125,-0.06305617193749999,-0.04408783868749999,-0.047178211062499996,3.6819097187706373,50.116579856341964,14.667621847913408,203.58303914285077,170.06503071947802
