,PPT_ERA5,PPT_IMERG
2001-01-01,4.907222112692479,0.4308329772964008
2001-01-02,1.7927777519346109,0.3349476782637963
2001-01-03,1.1466666507638164,0.3421017504143544
2001-01-04,1.197500001328687,0.21723256407948155
2001-01-05,1.7461111007465258,0.5751183576011887
2001-01-06,2.383333337803682,0.46049889471741406
2001-01-07,2.1641666485617557,0.022974765414216163
2001-01-08,1.6947221944832969,0.5996772570707033
2001-01-09,1.8841666763441427,2.2713364497004296
2001-01-10,2.3822222095396786,1.6866072637438
2001-01-11,3.243333340519005,2.2730658867002407
2001-01-12,2.0952777877036066,0.382810261004299
2001-01-13,2.3363889416990182,0.3315068925120388
2001-01-14,2.2447222159761524,0.43983689881520693
2001-01-15,2.9977777961951992,2.0591202056929347
2001-01-16,2.5772222379843392,4.839856697293565
2001-01-17,7.519999930428134,8.869438797767835
2001-01-18,3.5525000343720117,0.7578828720211344
2001-01-19,3.2941666576597424,2.960208259602843
2001-01-20,8.126111160549852,1.4717730433880414
2001-01-21,2.6822222491933245,0.5143377404311844
2001-01-22,4.983611137502724,1.7534307540930512
2001-01-23,6.5388888865709305,5.244294670701553
2001-01-24,3.8361111374364953,0.881549719538582
2001-01-25,3.5416667202177146,0.7357777244919225
2001-01-26,1.3774999919243986,0.67446064252415
2001-01-27,1.1011111163534224,0.1950773071612075
2001-01-28,0.679722226690501,0.17004917709456777
2001-01-29,0.7108333392275704,0.1558713828663622
2001-01-30,0.7500000100375878,0.07161479402791834
2001-01-31,1.6197221876225536,0.20425612657534414
2001-02-01,1.3641666582164664,0.3824787311250313
2001-02-02,2.109722215992709,3.0993415775959092
2001-02-03,2.888888927590516,1.9436830075114842
2001-02-04,1.3394444290962486,0.895116007356329
2001-02-05,2.46638893098053,0.38218200731303253
2001-02-06,4.0005555873115854,0.031468128970772204
2001-02-07,4.049722172319889,0.13161877154903814
2001-02-08,5.956111113230388,1.8953556628882458
2001-02-09,6.707500020662944,3.130697017057461
2001-02-10,1.9647222094548245,1.8539506007674313
2001-02-11,2.4580555890893767,0.10517184753711417
2001-02-12,1.2780555324215028,0.30297066861355393
2001-02-13,1.4188888891496594,0.5401764348149299
2001-02-14,1.239166655577719,0.8541867332476638
2001-02-15,0.6652777766705388,2.837593958989616
2001-02-16,1.0383333376505306,1.247212267594966
2001-02-17,2.631944421471821,0.37826525665315147
2001-02-18,1.9366666540089579,1.3725213350572327
2001-02-19,2.792500005828009,3.0578035025978796
2001-02-20,9.247499997417131,5.138827994560357
2001-02-21,7.870277769035764,6.2671204711289095
2001-02-22,6.80361126197709,1.4541153925541292
2001-02-23,3.4936111238267684,2.2008154908973747
2001-02-24,4.766666707065371,0.7895973970232456
2001-02-25,4.3538888510730525,3.9733076812986896
2001-02-26,10.470277733272974,2.4601999115755966
2001-02-27,6.139722244607078,1.1574788436822676
2001-02-28,5.571944455305736,1.6946521929992178
2001-03-01,6.853333357307645,3.4711322444818835
2001-03-02,5.138611121310128,3.197468191810969
2001-03-03,6.253888852066464,8.073327689428627
2001-03-04,8.539166669050852,11.622451326634916
2001-03-05,10.94111100335916,12.236560481826542
2001-03-06,8.916944417688581,5.345988274245421
2001-03-07,10.406388954983818,1.596879720625457
2001-03-08,9.626666610439619,0.9380643335389878
2001-03-09,5.3911110626326675,5.463113134949117
2001-03-10,7.708055597212579,3.7681343192415087
2001-03-11,3.4325000210147762,1.5033477650489857
2001-03-12,5.257222135447794,0.8753850905797828
2001-03-13,1.573055581137952,2.0278641081111615
2001-03-14,6.809166653288735,7.901222210420525
2001-03-15,7.9347222447395325,3.5044274238449185
2001-03-16,6.033333307339086,2.401884747578782
2001-03-17,5.588333338499069,2.903930983517762
2001-03-18,8.998611009783216,9.308718600540558
2001-03-19,10.980555540985529,14.232326140269185
2001-03-20,11.383611155880823,8.70604298753043
2001-03-21,18.40750002861023,10.683996585160461
2001-03-22,12.218611121177673,6.411016857257746
2001-03-23,5.858333319425583,1.2357063324093878
2001-03-24,8.01111121972402,3.0421266406879557
2001-03-25,9.362499921013496,1.187724488293852
2001-03-26,5.118333285570972,0.6260263767885447
2001-03-27,5.66916671436694,1.7011645041679397
2001-03-28,1.4011111073195934,4.590786653485144
2001-03-29,9.18333324127727,1.7003656929284237
2001-03-30,5.5430555658208,1.3079527224519305
2001-03-31,5.627222246593899,1.5360312905286138
2001-04-01,3.5655555208731027,1.3156436869115213
2001-04-02,3.3619444473750058,1.0344977925377123
2001-04-03,2.33194443402398,0.43257215418338446
2001-04-04,3.9841666671757903,1.6758973671533108
2001-04-05,8.867777738306257,3.3449951164468117
2001-04-06,7.577777719332112,0.43706443820450935
2001-04-07,5.245277755376366,2.211460833742001
2001-04-08,5.737222230786251,1.9340123056860126
2001-04-09,5.484166642857922,3.2646278166108167
2001-04-10,6.4261110756132345,6.308290190770487
2001-04-11,7.507777796851265,12.13319603687637
2001-04-12,9.284722236295542,3.6652904219022475
2001-04-13,7.8183333079020185,3.2933258774214536
2001-04-14,12.54972211519877,8.311034041038141
2001-04-15,9.320555572708448,6.579419021329854
2001-04-16,9.74361109154092,5.015020698575358
2001-04-17,11.638611093991331,3.741137759597156
2001-04-18,10.860555489857992,5.0433011863124815
2001-04-19,8.157777845859528,10.132924179863156
2001-04-20,8.610277666399876,4.419677097365665
2001-04-21,2.916111103621208,1.0130935969907862
2001-04-22,7.5130556590027275,3.7541514862171446
2001-04-23,6.291944490538703,3.3595081919404275
2001-04-24,3.638333315650622,3.8445896644594018
2001-04-25,3.564166637758414,0.48081745123811076
