,0,1
LR,0.5446993553013442,0.672010848615313
KNN,0.4722572255602701,0.7789333791446081
SVR,0.5379684392086946,0.6819454900177508
MLP,0.5508444387037368,0.662940879661531
RF,0.4906847683742791,0.7517348481771563
SARIMAX,0.5457221212029917,0.6705012751290822
LSTM,0.43501209488080894,0.8339061365217885
