Fecha y Hora,Valor,
2015-06-04,99.6479166666666,51.0
2015-06-05,173.590833333333,51.0
2015-06-06,142.68,51.0
2015-06-07,95.1829166666667,51.0
2015-06-08,108.02375,51.0
2015-06-09,77.1383333333333,51.0
2015-06-10,67.7104166666667,51.0
2015-06-11,62.4379166666667,51.0
2015-06-12,71.9183333333333,51.0
2015-06-13,57.8,51.0
2015-06-14,66.2891666666666,51.0
2015-06-15,61.8375,51.0
2015-06-16,88.96625,51.0
2015-06-17,75.89125,51.0
2015-06-18,82.9904166666667,51.0
2015-06-19,143.924166666667,51.0
2015-06-20,134.72625,51.0
2015-06-21,117.5225,51.0
2015-06-22,127.62375,51.0
2015-06-23,136.549583333333,51.0
2015-06-24,164.632083333333,51.0
2015-06-25,224.26,51.0
2015-06-26,339.435833333333,51.0
2015-06-27,250.492916666667,51.0
2015-06-28,279.46,51.0
2015-06-29,237.115416666667,51.0
2015-06-30,133.44375,51.0
2015-07-01,103.935,51.0
2015-07-02,96.5,51.0
2015-07-03,81.9429166666667,51.0
2015-07-04,75.4454166666667,51.0
2015-07-05,79.6908333333333,51.0
2015-07-06,62.2233333333333,51.0
2015-07-07,59.2741666666667,51.0
2015-07-08,55.7745833333333,51.0
2015-07-09,50.0945833333333,51.0
2015-07-10,52.4479166666667,51.0
2015-07-11,71.8258333333333,51.0
2015-07-12,52.1191666666667,51.0
2015-07-13,44.4745833333333,51.0
2015-07-14,42.3475,51.0
2015-07-15,51.2125,51.0
2015-07-16,153.040416666667,51.0
2015-07-17,100.467083333333,51.0
2015-07-18,110.5825,51.0
2015-07-19,96.0929166666667,51.0
2015-07-20,74.835,51.0
2015-07-21,76.66875,51.0
2015-07-22,80.5216666666667,51.0
2015-07-23,247.2,51.0
2015-07-24,230.347916666667,51.0
2015-07-25,140.333333333333,51.0
2015-07-26,89.6708333333333,51.0
2015-07-27,134.220833333333,51.0
2015-07-28,134.846666666667,51.0
2015-07-29,101.42375,51.0
2015-07-30,108.500833333333,51.0
2015-07-31,99.2754166666667,51.0
2015-08-01,96.2025,51.0
2015-08-02,84.76625,51.0
2015-08-03,98.3166666666667,51.0
2015-08-04,79.2695833333333,51.0
2015-08-05,103.047916666667,51.0
2015-08-06,76.5320833333333,51.0
2015-08-07,76.8225,51.0
2015-08-08,77.0429166666667,51.0
2015-08-09,91.69375,51.0
2015-08-10,73.34625,51.0
2015-08-11,70.575,51.0
2015-08-12,61.61875,51.0
2015-08-13,62.48,51.0
2015-08-14,70.0870833333333,51.0
2015-08-15,126.7275,51.0
2015-08-16,170.0675,51.0
2015-08-17,172.5525,51.0
2015-08-18,129.208333333333,51.0
2015-08-19,91.4025,51.0
2015-08-20,83.6554166666667,51.0
2015-08-21,118.513333333333,51.0
2015-08-22,80.1166666666667,51.0
2015-08-23,74.2258333333333,51.0
2015-08-24,74.7525,51.0
2015-08-25,93.2666666666666,51.0
2015-08-26,100.026666666667,51.0
2015-08-27,83.18625,51.0
2015-08-28,77.8279166666667,51.0
2015-08-29,84.08125,51.0
2015-08-30,68.7595833333333,51.0
2015-08-31,65.5933333333334,51.0
2015-09-01,95.3175,51.0
